RGB(188, 45, 19), LAB(42.177563149514846, 55.27305196510612, 48.41244724000659)
RGB(14, 222, 83), LAB(77.85164114019695, -72.38094514978455, 54.26024967138845)
RGB(40, 46, 134), LAB(24.084783971060027, 28.008220097353902, -50.02432921041468)
RGB(217, 123, 24), LAB(60.767134199608776, 30.411490290779163, 62.862912920092526)
RGB(227, 255, 20), LAB(95.1194083473672, -32.727510039436524, 90.47891029066048)
RGB(57, 68, 228), LAB(38.90799122202924, 49.16718737695627, -81.54458332825553)
RGB(52, 254, 236), LAB(90.62901885354054, -50.6734822111819, -4.9363960864628575)
RGB(245, 41, 5), LAB(52.95968333629884, 72.63568070336446, 64.66498220214395)
RGB(45, 123, 251), LAB(53.69529109888988, 22.397458825918648, -70.31162286859727)
RGB(21, 238, 161), LAB(83.90414324157945, -64.49966407920876, 24.313408551691396)
RGB(13, 221, 22), LAB(77.19488968851476, -76.43269901998679, 72.32272095699061)
RGB(120, 56, 205), LAB(39.96384209494408, 57.05798642747792, -66.40719426079093)
RGB(144, 22, 227), LAB(41.294148771886086, 76.16966040519765, -76.74730957276759)
RGB(43, 217, 16), LAB(76.17759732707671, -73.14792946053772, 72.42366478970851)
RGB(218, 48, 86), LAB(49.11942496916477, 65.87588248668996, 20.426134565316246)
RGB(230, 203, 56), LAB(81.74046535558294, -5.39033033177716, 71.56773100534755)
RGB(235, 23, 215), LAB(55.25854991729996, 87.77016978787245, -46.62555997412055)
RGB(50, 9, 6), LAB(8.008917034878436, 20.404863979945787, 9.98757326852201)
RGB(191, 127, 238), LAB(63.69518351778949, 44.758265042345535, -46.57550164950075)
RGB(41, 119, 1), LAB(43.75191196171077, -42.93275302024871, 47.97081965940847)
